ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
175330 KS,Financials,Banks,Banks,Diversified Banks
178920 KS,Materials,Materials,Chemicals,Commodity Chemicals
180640 KS,Industrials,Transportation,Passenger Airlines,Passenger Airlines
185750 KS,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
192080 KS,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
192820 KS,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
204320 KS,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
207940 KS,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
241560 KS,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
241590 KS,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear
251270 KS,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
259960 KS,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
267250 KS,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
271560 KS,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
271940 KS,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
272210 KS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
280360 KS,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
282330 KS,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
284740 KS,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail
285130 KS,Materials,Materials,Chemicals,Commodity Chemicals
294870 KS,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
298020 KS,Materials,Materials,Chemicals,Commodity Chemicals
298050 KS,Materials,Materials,Chemicals,Commodity Chemicals
300720 KS,Materials,Materials,Construction Materials,Construction Materials
302440 KS,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
316140 KS,Financials,Banks,Banks,Diversified Banks
323410 KS,Financials,Banks,Banks,Diversified Banks
326030 KS,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
329180 KS,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
336260 KS,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
352820 KS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
361610 KS,Materials,Materials,Chemicals,Specialty Chemicals
373220 KS,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
375500 KS,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
377300 KS,Financials,Financial Services,Financial Services,Transaction & Payment Processi
381970 KS,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
383220 KS,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
402340 KS,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
