ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
NOV UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
NOVA UN,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity
NOVT UW,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
NOW UN,Information Technology,Software & Services,Software,Systems Software
NPK UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
NPO UN,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
NR UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
NRC UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
NRDS UQ,Financials,Financial Services,Consumer Finance,Consumer Finance
NRDY UN,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
NREF UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
NRG UN,Utilities,Utilities,Electric Utilities,Electric Utilities
NRGV UN,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NRIX UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NSA UN,Real Estate,Equity Real Estate Investment,Specialized REITs,Self-Storage REITs
NSC UN,Industrials,Transportation,Ground Transportation,Rail Transportation
NSIT UW,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
NSP UN,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
NSSC UW,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
NSTG UQ,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
NTAP UW,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
NTB UN,Financials,Banks,Banks,Diversified Banks
NTCT UW,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
NTGR UW,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
NTLA UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NTNX UW,Information Technology,Software & Services,Software,Application Software
NTRA UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NTRS UW,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
NTST UN,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
NUE UN,Materials,Materials,Metals & Mining,Steel
NUS UN,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
NUTX UR,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
NUVA UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
NUVB UN,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
NUVL UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NVAX UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
NVCR UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
NVDA UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
NVEE UW,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
NVR UN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
NVRO UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
NVST UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
NVT UN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
NVTA UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
NWBI UW,Financials,Banks,Banks,Regional Banks
NWE UW,Utilities,Utilities,Multi-Utilities,Multi-Utilities
NWL UW,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties
NWLI UW,Financials,Insurance,Insurance,Life & Health Insurance
NWN UN,Utilities,Utilities,Gas Utilities,Gas Utilities
NWPX UW,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
NWS UW,Communication Services,Media & Entertainment,Media,Publishing
NWSA UW,Communication Services,Media & Entertainment,Media,Publishing
NX UN,Industrials,Capital Goods,Building Products,Building Products
NXGN UW,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology
NXRT UN,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
NXST UW,Communication Services,Media & Entertainment,Media,Broadcasting
NXT UW,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
NYCB UN,Financials,Banks,Banks,Regional Banks
NYMT UW,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
NYT UN,Communication Services,Media & Entertainment,Media,Publishing
O UN,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
OABI UQ,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
OB UW,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
OBK UN,Financials,Banks,Banks,Regional Banks
OC UN,Industrials,Capital Goods,Building Products,Building Products
OCFC UW,Financials,Banks,Banks,Regional Banks
OCGN UR,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
OCTO UR,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
